Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Wed May 22 19:46:56 2024
| Host         : amy running 64-bit NixOS 23.11 (Tapir)
| Command      : report_utilization -hierarchical -file util_coyote.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                        Instance                                                                       |                                                  Module                                                  | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
| cyt_top                                                                                                                                               |                                                                                                    (top) |     338727 |     310122 |   23758 | 4847 | 687011 |    373 |     70 |    0 |          0 |
|   (cyt_top)                                                                                                                                           |                                                                                                    (top) |        204 |         12 |       0 |  192 |    768 |      0 |      0 |    0 |          0 |
|   dbg_hub                                                                                                                                             |                                                                                                  dbg_hub |        487 |        467 |      20 |    0 |    799 |      0 |      0 |    0 |          0 |
|     (dbg_hub)                                                                                                                                         |                                                                                                  dbg_hub |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|     inst                                                                                                                                              |                                                                               dbg_hub_xsdbm_v3_0_0_xsdbm |        487 |        467 |      20 |    0 |    799 |      0 |      0 |    0 |          0 |
|       BSCANID.u_xsdbm_id                                                                                                                              |                                                                            dbg_hub_xsdbm_v3_0_0_xsdbm_id |        487 |        467 |      20 |    0 |    799 |      0 |      0 |    0 |          0 |
|         (BSCANID.u_xsdbm_id)                                                                                                                          |                                                                            dbg_hub_xsdbm_v3_0_0_xsdbm_id |         33 |         33 |       0 |    0 |     34 |      0 |      0 |    0 |          0 |
|         CORE_XSDB.UUT_MASTER                                                                                                                          |                                                                           dbg_hub_xsdbm_v3_0_0_icon2xsdb |        317 |        297 |      20 |    0 |    612 |      0 |      0 |    0 |          0 |
|           U_ICON_INTERFACE                                                                                                                            |                                                                                  dbg_hub_xsdbm_v3_0_0_if |        169 |        149 |      20 |    0 |    480 |      0 |      0 |    0 |          0 |
