Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Wed May 22 19:38:21 2024
| Host         : amy running 64-bit NixOS 23.11 (Tapir)
| Command      : report_utilization -hierarchical -file util_vfpio.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                        Instance                                                                       |                                                  Module                                                  | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
| cyt_top                                                                                                                                               |                                                                                                    (top) |     344506 |     315557 |   24102 | 4847 | 700906 |    373 |     71 |    0 |          0 |
|   (cyt_top)                                                                                                                                           |                                                                                                    (top) |        204 |         12 |       0 |  192 |    768 |      0 |      0 |    0 |          0 |
|   dbg_hub                                                                                                                                             |                                                                                                  dbg_hub |        491 |        471 |      20 |    0 |    799 |      0 |      0 |    0 |          0 |
|     (dbg_hub)                                                                                                                                         |                                                                                                  dbg_hub |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|     inst                                                                                                                                              |                                                                               dbg_hub_xsdbm_v3_0_0_xsdbm |        491 |        471 |      20 |    0 |    799 |      0 |      0 |    0 |          0 |
|       BSCANID.u_xsdbm_id                                                                                                                              |                                                                            dbg_hub_xsdbm_v3_0_0_xsdbm_id |        491 |        471 |      20 |    0 |    799 |      0 |      0 |    0 |          0 |
|         (BSCANID.u_xsdbm_id)                                                                                                                          |                                                                            dbg_hub_xsdbm_v3_0_0_xsdbm_id |         34 |         34 |       0 |    0 |     34 |      0 |      0 |    0 |          0 |
|         CORE_XSDB.UUT_MASTER                                                                                                                          |                                                                           dbg_hub_xsdbm_v3_0_0_icon2xsdb |        319 |        299 |      20 |    0 |    612 |      0 |      0 |    0 |          0 |
|           U_ICON_INTERFACE                                                                                                                            |                                                                                  dbg_hub_xsdbm_v3_0_0_if |        171 |        151 |      20 |    0 |    480 |      0 |      0 |    0 |          0 |
|             (U_ICON_INTERFACE)                                                                                                                        |                                                                                  dbg_hub_xsdbm_v3_0_0_if |          6 |          6 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|             U_CMD1                                                                                                                                    |                                                                             dbg_hub_xsdbm_v3_0_0_ctl_reg |          8 |          8 |       0 |    0 |     20 |      0 |      0 |    0 |          0 |
|             U_CMD2                                                                                                                                    |                                                                            dbg_hub_xsdbm_v3_0_0_stat_reg |          5 |          5 |       0 |    0 |     22 |      0 |      0 |    0 |          0 |
|             U_CMD3                                                                                                                                    |                                                            dbg_hub_xsdbm_v3_0_0_stat_reg__parameterized0 |          9 |          9 |       0 |    0 |     38 |      0 |      0 |    0 |          0 |
|             U_CMD4                                                                                                                                    |                                                             dbg_hub_xsdbm_v3_0_0_ctl_reg__parameterized0 |         20 |         20 |       0 |    0 |     62 |      0 |      0 |    0 |          0 |
|             U_CMD5                                                                                                                                    |                                                             dbg_hub_xsdbm_v3_0_0_ctl_reg__parameterized1 |          6 |          6 |       0 |    0 |     42 |      0 |      0 |    0 |          0 |
|             U_CMD6_RD                                                                                                                                 |                                                                               dbg_hub_xsdbm_v3_0_0_rdreg |         63 |         53 |      10 |    0 |    134 |      0 |      0 |    0 |          0 |
|               (U_CMD6_RD)                                                                                                                             |                                                                               dbg_hub_xsdbm_v3_0_0_rdreg |          2 |          2 |       0 |    0 |     20 |      0 |      0 |    0 |          0 |
|               U_RD_FIFO                                                                                                                               |                                                                              dbg_hub_xsdbm_v3_0_0_rdfifo |         61 |         51 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                 (U_RD_FIFO)                                                                                                                           |                                                                              dbg_hub_xsdbm_v3_0_0_rdfifo |         19 |         19 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                 SUBCORE_FIFO.xsdbm_v3_0_0_rdfifo_inst                                                                                                 |                                                           dbg_hub_fifo_generator_v13_1_4__parameterized0 |         42 |         32 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                   (SUBCORE_FIFO.xsdbm_v3_0_0_rdfifo_inst)                                                                                             |                                                           dbg_hub_fifo_generator_v13_1_4__parameterized0 |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                   inst_fifo_gen                                                                                                                       |                                                     dbg_hub_fifo_generator_v13_1_4_synth__parameterized0 |         42 |         32 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                     gconvfifo.rf                                                                                                                      |                                                               dbg_hub_fifo_generator_top__parameterized0 |         42 |         32 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                       grf.rf                                                                                                                          |                                                           dbg_hub_fifo_generator_ramfifo__parameterized0 |         42 |         32 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                         gntv_or_sync_fifo.gcx.clkx                                                                                                    |                                                                                    dbg_hub_clk_x_pntrs_6 |         11 |         11 |       0 |    0 |     32 |      0 |      0 |    0 |          0 |
|                           (gntv_or_sync_fifo.gcx.clkx)                                                                                                |                                                                                    dbg_hub_clk_x_pntrs_6 |         10 |         10 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                           gnxpm_cdc.gsync_stage[1].rd_stg_inst                                                                                        |                                                               dbg_hub_synchronizer_ff__parameterized0_18 |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                           gnxpm_cdc.gsync_stage[1].wr_stg_inst                                                                                        |                                                               dbg_hub_synchronizer_ff__parameterized0_19 |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                           gnxpm_cdc.gsync_stage[2].rd_stg_inst                                                                                        |                                                               dbg_hub_synchronizer_ff__parameterized0_20 |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                           gnxpm_cdc.gsync_stage[2].wr_stg_inst                                                                                        |                                                               dbg_hub_synchronizer_ff__parameterized0_21 |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                         gntv_or_sync_fifo.gl0.rd                                                                                                      |                                                                         dbg_hub_rd_logic__parameterized0 |         14 |         14 |       0 |    0 |     19 |      0 |      0 |    0 |          0 |
|                           gr1.gr1_int.rfwft                                                                                                           |                                                                                          dbg_hub_rd_fwft |          7 |          7 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                           gras.rsts                                                                                                                   |                                                                            dbg_hub_rd_status_flags_as_16 |          0 |          0 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                           grhf.rhf                                                                                                                    |                                                             dbg_hub_rd_handshaking_flags__parameterized0 |          0 |          0 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                           rpntr                                                                                                                       |                                                                                   dbg_hub_rd_bin_cntr_17 |          7 |          7 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                         gntv_or_sync_fifo.gl0.wr                                                                                                      |                                                                         dbg_hub_wr_logic__parameterized0 |          5 |          5 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|                           gwas.wsts                                                                                                                   |                                                                            dbg_hub_wr_status_flags_as_13 |          2 |          2 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                           gwhf.whf                                                                                                                    |                                                                          dbg_hub_wr_handshaking_flags_14 |          0 |          0 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                           wpntr                                                                                                                       |                                                                                   dbg_hub_wr_bin_cntr_15 |          3 |          3 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                         gntv_or_sync_fifo.mem                                                                                                         |                                                                           dbg_hub_memory__parameterized0 |         10 |          0 |      10 |    0 |     32 |      0 |      0 |    0 |          0 |
|                           (gntv_or_sync_fifo.mem)                                                                                                     |                                                                           dbg_hub_memory__parameterized0 |          0 |          0 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                           gdm.dm_gen.dm                                                                                                               |                                                                                          dbg_hub_dmem_12 |         10 |          0 |      10 |    0 |     16 |      0 |      0 |    0 |          0 |
|                         rstblk                                                                                                                        |                                                                              dbg_hub_reset_blk_ramfifo_7 |          3 |          3 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                           (rstblk)                                                                                                                    |                                                                              dbg_hub_reset_blk_ramfifo_7 |          0 |          0 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                           ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].rrst_inst                                                                    |                                                                                dbg_hub_synchronizer_ff_8 |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                           ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].wrst_inst                                                                    |                                                                                dbg_hub_synchronizer_ff_9 |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                           ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].rrst_inst                                                                    |                                                                               dbg_hub_synchronizer_ff_10 |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                           ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].wrst_inst                                                                    |                                                                               dbg_hub_synchronizer_ff_11 |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|             U_CMD6_WR                                                                                                                                 |                                                                               dbg_hub_xsdbm_v3_0_0_wrreg |         41 |         31 |      10 |    0 |    110 |      0 |      0 |    0 |          0 |
|               (U_CMD6_WR)                                                                                                                             |                                                                               dbg_hub_xsdbm_v3_0_0_wrreg |          2 |          2 |       0 |    0 |     20 |      0 |      0 |    0 |          0 |
|               U_WR_FIFO                                                                                                                               |                                                                              dbg_hub_xsdbm_v3_0_0_wrfifo |         39 |         29 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                 (U_WR_FIFO)                                                                                                                           |                                                                              dbg_hub_xsdbm_v3_0_0_wrfifo |          1 |          1 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                 SUBCORE_FIFO.xsdbm_v3_0_0_wrfifo_inst                                                                                                 |                                                                           dbg_hub_fifo_generator_v13_1_4 |         38 |         28 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                   (SUBCORE_FIFO.xsdbm_v3_0_0_wrfifo_inst)                                                                                             |                                                                           dbg_hub_fifo_generator_v13_1_4 |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                   inst_fifo_gen                                                                                                                       |                                                                     dbg_hub_fifo_generator_v13_1_4_synth |         38 |         28 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                     gconvfifo.rf                                                                                                                      |                                                                               dbg_hub_fifo_generator_top |         38 |         28 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                       grf.rf                                                                                                                          |                                                                           dbg_hub_fifo_generator_ramfifo |         38 |         28 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                         gntv_or_sync_fifo.gcx.clkx                                                                                                    |                                                                                      dbg_hub_clk_x_pntrs |         11 |         11 |       0 |    0 |     32 |      0 |      0 |    0 |          0 |
|                           (gntv_or_sync_fifo.gcx.clkx)                                                                                                |                                                                                      dbg_hub_clk_x_pntrs |          9 |          9 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                           gnxpm_cdc.gsync_stage[1].rd_stg_inst                                                                                        |                                                                  dbg_hub_synchronizer_ff__parameterized0 |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                           gnxpm_cdc.gsync_stage[1].wr_stg_inst                                                                                        |                                                                dbg_hub_synchronizer_ff__parameterized0_3 |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                           gnxpm_cdc.gsync_stage[2].rd_stg_inst                                                                                        |                                                                dbg_hub_synchronizer_ff__parameterized0_4 |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
